login,firstname,lastname,memberOf,memberOf,disabled,password,,
m.oflaherty,Maxine,O'Flaherty,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,8zSQC2345
a.rickett,Anthony,Rickett,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,aR5Qz234
m.mcManus,Michael,McManus,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,68oPS345485
m.preece,Malcolm,Preece,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,SjkHQ4568546
h.macavoy,Heidi,Macavoy,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,jkxdA345456
t.applebee,Tamsin,Applebee,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,b5eaL262346
l.lovegood,Luna,Lovegood,Hogwarts,Students,Ravenclaw,,FALSE,gVpvc2346234
t.boot,Terry,Boot,Hogwarts,Students,Ravenclaw,,FALSE,jMeJC2346234
ch.Chang,Cho,Chang,Hogwarts,Students,Ravenclaw,quiddich-ravenclaw,FALSE,MyNFI
p.clearwater,Penelope,Clearwater,Hogwarts,Students,Ravenclaw,,FALSE,beT2o
m.corner,Michael,Corner,Hogwarts,Students,Ravenclaw,,FALSE,SzZjR
r.davies,Roger,Davies,Hogwarts,Students,Ravenclaw,quiddich-ravenclaw,FALSE,1WPNp
m.edgecombe,Marietta,Edgecombe,Hogwarts,Students,Ravenclaw,,FALSE,9NXxc
a.goldstein,Anthony,Goldstein,Hogwarts,Students,Ravenclaw,,FALSE,QGLi0
pa.patil,Padma,Patil,Hogwarts,Students,Ravenclaw,,FALSE,L06xC
j.stretton,Jeremy,Stretton,Hogwarts,Students,Ravenclaw,quiddich-ravenclaw,FALSE,Qo2kc
r.burrow,Randolph,Burrow,Hogwarts,Students,Ravenclaw,quiddich-ravenclaw,FALSE,BtwrF
d.inglebee,Duncan,Inglebee,Hogwarts,Students,Ravenclaw,quiddich-ravenclaw,FALSE,0hFEp
d.malfoy,Draco,Malfoy,Hogwarts,Students,Slytherin,quiddich-slytherin,FALSE,lOBrZ
m.bulstrode,Millicent,Bulstrode,Hogwarts,Students,Slytherin,,FALSE,fzFmz
v.crabbe,Vincent,Crabbe,Hogwarts,Students,Slytherin,quiddich-slytherin,FALSE,gFv53
m.flint,Marcus,Flint,Hogwarts,Students,Slytherin,quiddich-slytherin,FALSE,Iy6lp
g.goyle,Gregory,Goyle,Hogwarts,Students,Slytherin,quiddich-slytherin,FALSE,wboNH
g.montague,Graham,Montague,Hogwarts,Students,Slytherin,quiddich-slytherin,FALSE,H08hH
t.nott,Theodore,Nott,Hogwarts,Students,Slytherin,,FALSE,sOc81
p.parkinson,Pansy,Parkinson,Hogwarts,Students,Slytherin,,FALSE,wd7TU
b.zabini,Blaise,Zabini,Hogwarts,Students,Slytherin,,FALSE,bwdzH
a.dumbledore,Albus,Dumbledore,Hogwarts,Staff,Gryffindor,,FALSE,tVxYS
l.voldemort,Lord,Voldemort,Hogwarts,Staff,Professors,,FALSE,w3Hn3
m.mcGonagall,Minerva,McGonagall,Hogwarts,Staff,Gryffindor,,FALSE,LnwYb
s.snape,Severus,Snape,Hogwarts,Staff,Slytherin,,FALSE,3p0AE
p.sprout,Pomona,Sprout,Hogwarts,Staff,Slytherin,,FALSE,TPL2Te
f.flitwick,Filius,Flitwick,Hogwarts,Staff,Slytherin,,FALSE,3seVL
s.trelawney,Sybill,Trelawney,Hogwarts,Staff,Slytherin,,FALSE,irY4l
ch.burbage,Charity,Burbage,Hogwarts,Staff,Slytherin,,FALSE,JIZxz2
r.hooch,Rolanda,Hooch,Hogwarts,Staff,Slytherin,,FALSE,VmbKi
s.kettleburn,Silvanus,Kettleburn,Hogwarts,Staff,Slytherin,,FALSE,tVxYS
g.lockhart,Gilderoy,Lockhart,Hogwarts,Staff,Slytherin,,FALSE,asd123
a.sinistra,Aurora,Sinistra,Hogwarts,Staff,Slytherin,,FALSE,top0f
s.vector,Septima,Vector,Hogwarts,Staff,Slytherin,,FALSE,NJFjE
a.filch,Argus,Filch,Hogwarts,Staff,Slytherin,,FALSE,LUdDa
r.hagrid,Rubeus,Hagrid,Hogwarts,Staff,Slytherin,,FALSE,tVxYS
i.pince,Irma,Pince,Hogwarts,Staff,Slytherin,,FALSE,ZnHa4
p.pomfrey,Poppy,Pomfrey,Hogwarts,Staff,Slytherin,,FALSE,bvYIK
